"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(0.999994,-0.000863)","(0.950463,-0.003013)","(0.811653,-0.014226)","(0.610977,-0.044206)","(0.388281,-0.071844)","(0.187828,-0.066961)","(0.049243,-0.042951)","(0.000000,0.000000)","(0.049984,0.072918)","(0.189115,0.134366)","(0.389632,0.139510)","(0.611834,0.089825)","(0.811972,0.035706)","(0.950533,0.008001)","(1.000006,0.000863)","9.000000e+06","1.000000e-01","4.000000e+00","6.951881e-03","8.124007e-01","-4.910760e-02"
"(1.000084,-0.003035)","(0.950329,0.005546)","(0.811651,0.003378)","(0.612759,-0.054162)","(0.392096,-0.121248)","(0.191520,-0.117953)","(0.051150,-0.058970)","(-0.000000,0.000000)","(0.048051,0.053000)","(0.185613,0.095475)","(0.386015,0.098468)","(0.609478,0.064376)","(0.810912,0.030065)","(0.950182,0.010862)","(0.999916,0.003035)","9.000000e+06","1.000000e-01","4.000000e+00","8.137073e-03","7.503113e-01","-9.216878e-02"
"(1.000004,-0.000341)","(0.950383,0.008196)","(0.811601,0.011893)","(0.611323,-0.005210)","(0.389070,-0.027386)","(0.188726,-0.038934)","(0.049911,-0.032562)","(0.000000,-0.000000)","(0.048780,0.061174)","(0.186721,0.127232)","(0.386735,0.166180)","(0.609453,0.149742)","(0.810714,0.085374)","(0.950213,0.022281)","(0.999996,0.000341)","9.000000e+06","1.000000e-01","4.000000e+00","1.013795e-02","1.413103e+00","-2.403489e-01"
"(1.000032,-0.002381)","(0.950332,0.011223)","(0.811338,0.030306)","(0.611107,0.011440)","(0.389212,-0.035262)","(0.189064,-0.060337)","(0.050142,-0.046634)","(-0.000000,0.000000)","(0.048503,0.075793)","(0.186352,0.142200)","(0.386620,0.158380)","(0.609625,0.122101)","(0.810859,0.066153)","(0.950211,0.020251)","(0.999968,0.002381)","9.000000e+06","1.000000e-01","4.000000e+00","1.008172e-02","1.493852e+00","-2.335667e-01"
"(1.000087,-0.004793)","(0.950525,-0.002354)","(0.811933,-0.010386)","(0.612330,-0.058911)","(0.390815,-0.114233)","(0.190384,-0.117154)","(0.050742,-0.067414)","(0.000000,0.000000)","(0.048301,0.066978)","(0.186375,0.103568)","(0.387114,0.089520)","(0.610324,0.051508)","(0.811304,0.024251)","(0.950281,0.011061)","(0.999913,0.004793)","9.000000e+06","1.000000e-01","4.000000e+00","8.588130e-03","6.035090e-01","-3.890159e-02"
"(1.000061,-0.002981)","(0.950386,0.004729)","(0.811638,0.005232)","(0.611707,-0.022029)","(0.389877,-0.055955)","(0.189693,-0.070737)","(0.050543,-0.050499)","(0.000000,0.000000)","(0.048194,0.065158)","(0.185863,0.117785)","(0.385903,0.139667)","(0.608727,0.124705)","(0.810213,0.075406)","(0.950012,0.023134)","(0.999939,0.002981)","9.000000e+06","1.000000e-01","4.000000e+00","1.056642e-02","1.248830e+00","-2.047608e-01"
"(1.000027,-0.003566)","(0.950505,-0.003020)","(0.811830,-0.011445)","(0.611629,-0.049055)","(0.389424,-0.090838)","(0.188966,-0.094329)","(0.049962,-0.059005)","(-0.000000,0.000000)","(0.048968,0.073094)","(0.187350,0.120422)","(0.387885,0.113656)","(0.610718,0.072000)","(0.811494,0.033276)","(0.950396,0.011504)","(0.999973,0.003566)","9.000000e+06","1.000000e-01","4.000000e+00","8.073012e-03","7.477105e-01","-5.376420e-02"
"(1.000018,-0.002054)","(0.950530,-0.005397)","(0.811986,-0.027283)","(0.611937,-0.076445)","(0.389742,-0.113209)","(0.189128,-0.098453)","(0.049981,-0.052303)","(0.000000,0.000000)","(0.049006,0.057784)","(0.187362,0.100927)","(0.387829,0.102927)","(0.610663,0.067436)","(0.811493,0.028344)","(0.950414,0.007710)","(0.999982,0.002054)","9.000000e+06","1.000000e-01","4.000000e+00","6.991979e-03","5.030558e-01","-7.804403e-03"
"(0.999995,-0.001811)","(0.950460,-0.008398)","(0.811663,-0.031361)","(0.611102,-0.060774)","(0.388547,-0.074277)","(0.188079,-0.067857)","(0.049397,-0.046500)","(0.000000,0.000000)","(0.049697,0.069016)","(0.188567,0.119759)","(0.389072,0.127687)","(0.611510,0.096059)","(0.811868,0.047483)","(0.950514,0.012227)","(1.000005,0.001811)","9.000000e+06","1.000000e-01","4.000000e+00","7.410805e-03","7.105901e-01","-3.763766e-02"
"(1.000108,-0.003448)","(0.950325,0.005019)","(0.811717,0.000862)","(0.613013,-0.055774)","(0.392478,-0.118917)","(0.191946,-0.117415)","(0.051414,-0.060345)","(0.000000,0.000000)","(0.047904,0.051352)","(0.185403,0.090780)","(0.385674,0.097541)","(0.608979,0.072566)","(0.810510,0.039256)","(0.950042,0.013997)","(0.999892,0.003448)","9.000000e+06","1.000000e-01","4.000000e+00","8.846879e-03","8.027552e-01","-1.129090e-01"
"(0.999996,-0.001129)","(0.950509,0.007162)","(0.811827,0.022006)","(0.611312,0.013831)","(0.388675,-0.017229)","(0.188110,-0.038755)","(0.049375,-0.038096)","(0.000000,0.000000)","(0.049831,0.083207)","(0.188848,0.157557)","(0.389385,0.171494)","(0.611725,0.123546)","(0.811970,0.060185)","(0.950543,0.016230)","(1.000004,0.001129)","9.000000e+06","1.000000e-01","4.000000e+00","9.328337e-03","1.425793e+00","-1.905914e-01"
"(0.999993,-0.003138)","(0.950457,-0.010983)","(0.811665,-0.034854)","(0.611108,-0.066864)","(0.388546,-0.085248)","(0.188071,-0.081151)","(0.049393,-0.054974)","(0.000000,0.000000)","(0.049685,0.073590)","(0.188525,0.118060)","(0.388998,0.113093)","(0.611436,0.077409)","(0.811829,0.037103)","(0.950508,0.011105)","(1.000007,0.003138)","9.000000e+06","1.000000e-01","4.000000e+00","7.662684e-03","5.731218e-01","-1.437730e-03"
"(1.000030,-0.002745)","(0.950390,0.008492)","(0.811478,0.024426)","(0.611071,0.017329)","(0.388873,-0.012226)","(0.188727,-0.043154)","(0.050004,-0.044522)","(0.000000,0.000000)","(0.048661,0.078555)","(0.186691,0.143410)","(0.386944,0.164575)","(0.609733,0.139993)","(0.810844,0.082495)","(0.950208,0.025092)","(0.999970,0.002745)","9.000000e+06","1.000000e-01","4.000000e+00","1.175067e-02","1.556893e+00","-2.554978e-01"
"(0.999999,-0.000547)","(0.950469,-0.008132)","(0.811685,-0.036567)","(0.611142,-0.072688)","(0.388601,-0.085236)","(0.188145,-0.068121)","(0.049452,-0.040480)","(0.000000,0.000000)","(0.049614,0.059170)","(0.188435,0.110012)","(0.388944,0.125454)","(0.611416,0.096034)","(0.811818,0.045079)","(0.950498,0.009733)","(1.000001,0.000547)","9.000000e+06","1.000000e-01","4.000000e+00","6.657845e-03","6.173249e-01","-2.149161e-02"
"(1.000045,-0.003059)","(0.950499,-0.001156)","(0.811916,-0.011789)","(0.612024,-0.052315)","(0.390080,-0.091753)","(0.189605,-0.092369)","(0.050331,-0.055641)","(0.000000,0.000000)","(0.048580,0.064180)","(0.186644,0.110364)","(0.387042,0.116207)","(0.609985,0.087281)","(0.811070,0.046125)","(0.950270,0.014533)","(0.999955,0.003059)","9.000000e+06","1.000000e-01","4.000000e+00","8.146226e-03","8.390610e-01","-9.259429e-02"
"(1.000007,-0.001370)","(0.950533,-0.010015)","(0.811967,-0.043830)","(0.611746,-0.095723)","(0.389357,-0.121491)","(0.188743,-0.096002)","(0.049763,-0.048399)","(0.000000,0.000000)","(0.049256,0.051611)","(0.187796,0.090595)","(0.388260,0.094649)","(0.610940,0.063067)","(0.811618,0.024817)","(0.950455,0.005299)","(0.999993,0.001370)","9.000000e+06","1.000000e-01","4.000000e+00","6.517462e-03","2.950364e-01","4.363542e-02"
"(0.999995,-0.001031)","(0.950448,-0.007330)","(0.811608,-0.028737)","(0.611069,-0.040368)","(0.388587,-0.032293)","(0.188096,-0.033683)","(0.049349,-0.035602)","(0.000000,0.000000)","(0.049841,0.068324)","(0.188844,0.124191)","(0.389450,0.149953)","(0.611898,0.134780)","(0.812107,0.076577)","(0.950574,0.019287)","(1.000005,0.001031)","9.000000e+06","1.000000e-01","4.000000e+00","1.033367e-02","9.119513e-01","-9.746758e-02"
"(1.000059,-0.004176)","(0.950400,0.005815)","(0.811482,0.018614)","(0.611236,0.001707)","(0.389281,-0.038399)","(0.189210,-0.067717)","(0.050307,-0.056031)","(0.000000,0.000000)","(0.048374,0.081162)","(0.186309,0.138203)","(0.386692,0.145343)","(0.609629,0.115782)","(0.810784,0.068139)","(0.950159,0.022967)","(0.999941,0.004176)","9.000000e+06","1.000000e-01","4.000000e+00","1.070298e-02","1.387690e+00","-2.107514e-01"
"(1.000075,-0.004430)","(0.950468,0.000834)","(0.811747,-0.000196)","(0.611888,-0.037037)","(0.390189,-0.085436)","(0.189914,-0.097770)","(0.050583,-0.062792)","(-0.000000,0.000000)","(0.048290,0.072354)","(0.186255,0.117972)","(0.386794,0.114748)","(0.609878,0.081486)","(0.810988,0.044560)","(0.950205,0.016357)","(0.999925,0.004430)","9.000000e+06","1.000000e-01","4.000000e+00","8.962700e-03","9.433769e-01","-1.133324e-01"
"(1.000066,-0.002929)","(0.950340,0.006253)","(0.811550,0.008541)","(0.611897,-0.028062)","(0.390446,-0.075129)","(0.190200,-0.085627)","(0.050726,-0.053228)","(0.000000,0.000000)","(0.048091,0.062845)","(0.185650,0.114756)","(0.385763,0.131128)","(0.608810,0.107905)","(0.810344,0.061673)","(0.950042,0.019401)","(0.999934,0.002929)","9.000000e+06","1.000000e-01","4.000000e+00","9.383938e-03","1.173572e+00","-1.839506e-01"
"(1.000004,-0.000532)","(0.950544,-0.007896)","(0.812069,-0.041793)","(0.612004,-0.095763)","(0.389683,-0.121455)","(0.188974,-0.092514)","(0.049857,-0.043648)","(0.000000,0.000000)","(0.049165,0.045433)","(0.187584,0.086465)","(0.387969,0.099302)","(0.610702,0.071881)","(0.811511,0.029977)","(0.950438,0.005702)","(0.999996,0.000532)","9.000000e+06","1.000000e-01","4.000000e+00","6.203981e-03","3.551687e-01","2.257237e-02"
"(1.000008,-0.000765)","(0.950368,0.011512)","(0.811477,0.026797)","(0.611133,0.012795)","(0.388949,-0.020956)","(0.188663,-0.040888)","(0.049871,-0.035417)","(0.000000,0.000000)","(0.048822,0.069815)","(0.186849,0.141203)","(0.387031,0.171578)","(0.609847,0.141856)","(0.810974,0.077327)","(0.950273,0.020968)","(0.999992,0.000765)","9.000000e+06","1.000000e-01","4.000000e+00","9.686366e-03","1.552037e+00","-2.544539e-01"
"(1.000091,-0.003968)","(0.950276,0.009043)","(0.811215,0.023143)","(0.611346,-0.003777)","(0.389994,-0.054883)","(0.190086,-0.080103)","(0.050816,-0.056848)","(0.000000,0.000000)","(0.047857,0.072697)","(0.185341,0.127612)","(0.385565,0.138973)","(0.608687,0.112644)","(0.810220,0.066720)","(0.949965,0.022631)","(0.999909,0.003968)","9.000000e+06","1.000000e-01","4.000000e+00","1.055518e-02","1.377274e+00","-2.237524e-01"
"(1.000024,-0.002583)","(0.950440,0.004482)","(0.811655,0.009429)","(0.611494,-0.024818)","(0.389455,-0.075743)","(0.189058,-0.084951)","(0.050018,-0.052959)","(0.000000,0.000000)","(0.048826,0.073241)","(0.187016,0.131299)","(0.387485,0.132894)","(0.610444,0.086356)","(0.811373,0.039259)","(0.950365,0.012400)","(0.999976,0.002583)","9.000000e+06","1.000000e-01","4.000000e+00","8.424741e-03","1.029511e+00","-1.183371e-01"
"(1.000017,-0.001881)","(0.950408,0.008175)","(0.811564,0.019802)","(0.611319,-0.006461)","(0.389229,-0.053934)","(0.188880,-0.068717)","(0.049941,-0.046681)","(-0.000000,0.000000)","(0.048846,0.074012)","(0.186991,0.139329)","(0.387372,0.150703)","(0.610289,0.107015)","(0.811269,0.052302)","(0.950343,0.015312)","(0.999983,0.001881)","9.000000e+06","1.000000e-01","4.000000e+00","8.662345e-03","1.274500e+00","-1.749424e-01"
"(1.000073,-0.003314)","(0.950374,0.004931)","(0.811612,0.005978)","(0.611963,-0.031905)","(0.390506,-0.080127)","(0.190247,-0.090374)","(0.050751,-0.055949)","(0.000000,0.000000)","(0.048099,0.064403)","(0.185740,0.114187)","(0.385969,0.125751)","(0.609048,0.100409)","(0.810489,0.056941)","(0.950074,0.018536)","(0.999927,0.003314)","9.000000e+06","1.000000e-01","4.000000e+00","9.239057e-03","1.106842e+00","-1.653386e-01"
"(1.000006,-0.002344)","(0.950464,0.007751)","(0.811684,0.025422)","(0.611219,0.017115)","(0.388783,-0.018022)","(0.188365,-0.046080)","(0.049623,-0.044437)","(0.000000,0.000000)","(0.049316,0.084660)","(0.187889,0.154290)","(0.388347,0.165333)","(0.610968,0.122943)","(0.811591,0.064594)","(0.950436,0.019372)","(0.999994,0.002344)","9.000000e+06","1.000000e-01","4.000000e+00","1.015211e-02","1.479269e+00","-2.108224e-01"
"(1.000087,-0.003139)","(0.950243,0.008605)","(0.811342,0.014478)","(0.612279,-0.036696)","(0.391669,-0.105500)","(0.191321,-0.110435)","(0.051138,-0.058368)","(0.000000,0.000000)","(0.047905,0.058104)","(0.185312,0.106041)","(0.385648,0.111389)","(0.609146,0.076141)","(0.810694,0.037834)","(0.950110,0.013422)","(0.999913,0.003139)","9.000000e+06","1.000000e-01","4.000000e+00","8.554879e-03","9.548603e-01","-1.352981e-01"
"(1.000016,-0.002004)","(0.950432,0.006438)","(0.811623,0.015469)","(0.611251,0.001182)","(0.388964,-0.028609)","(0.188642,-0.049213)","(0.049855,-0.043029)","(0.000000,0.000000)","(0.048927,0.075305)","(0.187154,0.140372)","(0.387478,0.160766)","(0.610231,0.131172)","(0.811172,0.072929)","(0.950317,0.021068)","(0.999984,0.002004)","9.000000e+06","1.000000e-01","4.000000e+00","1.014063e-02","1.414603e+00","-2.162116e-01"
"(1.000027,-0.002455)","(0.950544,-0.005660)","(0.812048,-0.027714)","(0.612143,-0.080514)","(0.390076,-0.121893)","(0.189423,-0.106435)","(0.050123,-0.055241)","(0.000000,0.000000)","(0.048897,0.056627)","(0.187200,0.096295)","(0.387710,0.093945)","(0.610631,0.057401)","(0.811498,0.022482)","(0.950409,0.006706)","(0.999973,0.002455)","9.000000e+06","1.000000e-01","4.000000e+00","7.008846e-03","4.223443e-01","7.459325e-03"
"(1.000029,-0.001483)","(0.950532,-0.002575)","(0.812264,-0.026677)","(0.612863,-0.082168)","(0.391074,-0.119674)","(0.190212,-0.100292)","(0.050468,-0.048731)","(0.000000,0.000000)","(0.048652,0.044414)","(0.186613,0.084243)","(0.386782,0.100389)","(0.609696,0.080182)","(0.810957,0.040346)","(0.950276,0.010566)","(0.999971,0.001483)","9.000000e+06","1.000000e-01","4.000000e+00","7.602121e-03","5.657703e-01","-4.700132e-02"
"(1.000043,-0.003855)","(0.950527,-0.004048)","(0.811924,-0.016143)","(0.611815,-0.049658)","(0.389647,-0.081180)","(0.189229,-0.087159)","(0.050171,-0.058469)","(0.000000,0.000000)","(0.048727,0.070807)","(0.186968,0.115361)","(0.387433,0.117060)","(0.610254,0.090045)","(0.811182,0.050331)","(0.950297,0.016583)","(0.999957,0.003855)","9.000000e+06","1.000000e-01","4.000000e+00","8.620673e-03","8.558069e-01","-8.949996e-02"
"(1.000093,-0.004535)","(0.950643,-0.007847)","(0.812405,-0.032307)","(0.612936,-0.081927)","(0.391145,-0.117564)","(0.190538,-0.111551)","(0.050835,-0.064402)","(-0.000000,0.000000)","(0.048347,0.057245)","(0.186502,0.085764)","(0.387038,0.083204)","(0.609911,0.065933)","(0.810942,0.039192)","(0.950189,0.014329)","(0.999907,0.004535)","9.000000e+06","1.000000e-01","4.000000e+00","8.161478e-03","5.040884e-01","-2.770517e-02"
"(0.999998,-0.000483)","(0.950453,-0.007043)","(0.811615,-0.030641)","(0.611060,-0.047424)","(0.388563,-0.041948)","(0.188097,-0.037617)","(0.049375,-0.033949)","(0.000000,-0.000000)","(0.049788,0.064253)","(0.188763,0.120402)","(0.389363,0.147825)","(0.611812,0.131038)","(0.812048,0.072206)","(0.950555,0.017278)","(1.000002,0.000483)","9.000000e+06","1.000000e-01","4.000000e+00","9.571546e-03","8.734882e-01","-8.797272e-02"
"(1.000002,-0.000332)","(0.950518,-0.005152)","(0.811970,-0.032594)","(0.611785,-0.075746)","(0.389400,-0.095208)","(0.188778,-0.075388)","(0.049795,-0.040010)","(0.000000,0.000000)","(0.049168,0.050492)","(0.187570,0.098970)","(0.387903,0.120831)","(0.610580,0.098050)","(0.811410,0.048182)","(0.950409,0.010639)","(0.999998,0.000332)","9.000000e+06","1.000000e-01","4.000000e+00","6.540252e-03","6.463365e-01","-4.545476e-02"
"(1.000014,-0.002937)","(0.950471,0.002363)","(0.811713,0.006734)","(0.611356,-0.020567)","(0.389040,-0.064251)","(0.188618,-0.077478)","(0.049768,-0.053507)","(0.000000,0.000000)","(0.049147,0.079324)","(0.187610,0.138142)","(0.388100,0.136925)","(0.610841,0.089740)","(0.811548,0.042034)","(0.950419,0.013456)","(0.999986,0.002937)","9.000000e+06","1.000000e-01","4.000000e+00","8.702853e-03","1.056272e+00","-1.154130e-01"
"(0.999994,-0.000936)","(0.950476,-0.001034)","(0.811702,-0.006543)","(0.611114,-0.022923)","(0.388484,-0.040276)","(0.187961,-0.046354)","(0.049269,-0.039038)","(-0.000000,0.000000)","(0.050006,0.076743)","(0.189163,0.142511)","(0.389739,0.156946)","(0.612004,0.116821)","(0.812106,0.056893)","(0.950573,0.014184)","(1.000006,0.000936)","9.000000e+06","1.000000e-01","4.000000e+00","8.201250e-03","1.096104e+00","-1.190208e-01"
"(1.000014,-0.001498)","(0.950579,-0.010433)","(0.812186,-0.047379)","(0.612171,-0.097825)","(0.389829,-0.116861)","(0.189113,-0.091983)","(0.049961,-0.047542)","(0.000000,0.000000)","(0.049075,0.047475)","(0.187479,0.083365)","(0.387856,0.094834)","(0.610556,0.075619)","(0.811397,0.037265)","(0.950399,0.008948)","(0.999986,0.001498)","9.000000e+06","1.000000e-01","4.000000e+00","6.870442e-03","3.547141e-01","1.993323e-02"
"(1.000000,-0.001188)","(0.950483,-0.008687)","(0.811748,-0.036822)","(0.611268,-0.071596)","(0.388749,-0.083545)","(0.188264,-0.069843)","(0.049523,-0.043527)","(0.000000,0.000000)","(0.049511,0.060886)","(0.188244,0.109287)","(0.388726,0.122988)","(0.611249,0.096700)","(0.811739,0.048055)","(0.950481,0.011476)","(1.000000,0.001188)","9.000000e+06","1.000000e-01","4.000000e+00","7.069148e-03","6.322216e-01","-2.775085e-02"
"(1.000003,-0.001151)","(0.950502,-0.006766)","(0.811840,-0.032006)","(0.611450,-0.063790)","(0.388962,-0.074396)","(0.188448,-0.064354)","(0.049643,-0.042012)","(0.000000,0.000000)","(0.049339,0.059928)","(0.187929,0.109689)","(0.388355,0.129244)","(0.610936,0.108590)","(0.811572,0.057693)","(0.950440,0.014296)","(0.999997,0.001151)","9.000000e+06","1.000000e-01","4.000000e+00","7.558750e-03","7.527109e-01","-6.385980e-02"
"(1.000098,-0.004141)","(0.950321,0.006793)","(0.811382,0.015284)","(0.611977,-0.030280)","(0.391072,-0.098529)","(0.190869,-0.110402)","(0.051015,-0.063242)","(0.000000,0.000000)","(0.047925,0.067302)","(0.185546,0.114464)","(0.386144,0.109665)","(0.609631,0.068813)","(0.810947,0.033686)","(0.950161,0.013572)","(0.999902,0.004141)","9.000000e+06","1.000000e-01","4.000000e+00","9.114423e-03","9.464982e-01","-1.212995e-01"
"(1.000092,-0.004027)","(0.950264,0.009589)","(0.811169,0.025289)","(0.611524,-0.011596)","(0.390503,-0.077512)","(0.190475,-0.097595)","(0.050895,-0.060576)","(-0.000000,-0.000000)","(0.047881,0.071969)","(0.185406,0.125333)","(0.385884,0.125577)","(0.609311,0.085705)","(0.810721,0.044985)","(0.950101,0.016765)","(0.999908,0.004027)","9.000000e+06","1.000000e-01","4.000000e+00","9.935975e-03","1.179650e+00","-1.702411e-01"
"(0.999999,-0.000880)","(0.950471,-0.006669)","(0.811695,-0.029543)","(0.611175,-0.051355)","(0.388652,-0.053093)","(0.188176,-0.048163)","(0.049455,-0.037905)","(-0.000000,0.000000)","(0.049624,0.064318)","(0.188452,0.118679)","(0.388975,0.141996)","(0.611463,0.122512)","(0.811855,0.066642)","(0.950509,0.016355)","(1.000001,0.000880)","9.000000e+06","1.000000e-01","4.000000e+00","8.305053e-03","8.572745e-01","-8.413078e-02"
"(1.000048,-0.003572)","(0.950475,0.000509)","(0.811781,-0.002797)","(0.611790,-0.039777)","(0.389872,-0.085015)","(0.189490,-0.092676)","(0.050294,-0.058335)","(-0.000000,0.000000)","(0.048574,0.070864)","(0.186662,0.119724)","(0.387148,0.119620)","(0.610146,0.083709)","(0.811172,0.042997)","(0.950288,0.014572)","(0.999952,0.003572)","9.000000e+06","1.000000e-01","4.000000e+00","8.655954e-03","9.189836e-01","-1.032531e-01"
"(1.000053,-0.002265)","(0.950308,0.007531)","(0.811519,0.009719)","(0.612039,-0.033601)","(0.390771,-0.087577)","(0.190388,-0.091924)","(0.050711,-0.051457)","(0.000000,0.000000)","(0.048160,0.058539)","(0.185670,0.111524)","(0.385778,0.127717)","(0.608964,0.098991)","(0.810526,0.052520)","(0.950111,0.016004)","(0.999947,0.002265)","9.000000e+06","1.000000e-01","4.000000e+00","8.437731e-03","1.093065e+00","-1.647303e-01"
"(1.000011,-0.001754)","(0.950550,-0.010377)","(0.812034,-0.044363)","(0.611835,-0.088027)","(0.389415,-0.103377)","(0.188808,-0.084467)","(0.049830,-0.047839)","(0.000000,0.000000)","(0.049167,0.053743)","(0.187649,0.092932)","(0.388059,0.104243)","(0.610710,0.084278)","(0.811462,0.043261)","(0.950411,0.010933)","(0.999989,0.001754)","9.000000e+06","1.000000e-01","4.000000e+00","7.063140e-03","4.649146e-01","-2.013893e-04"
"(0.999979,-0.001471)","(0.950370,-0.007958)","(0.811417,-0.023247)","(0.610813,-0.031750)","(0.388304,-0.030977)","(0.187735,-0.036960)","(0.048957,-0.039795)","(0.000000,0.000000)","(0.050669,0.081732)","(0.190271,0.143074)","(0.390899,0.153352)","(0.612917,0.117701)","(0.812587,0.059840)","(0.950695,0.015116)","(1.000021,0.001471)","9.000000e+06","1.000000e-01","4.000000e+00","9.037538e-03","9.619181e-01","-7.778812e-02"
"(1.000028,-0.002483)","(0.950414,0.005991)","(0.811595,0.013057)","(0.611483,-0.019554)","(0.389539,-0.070093)","(0.189184,-0.081408)","(0.050107,-0.051672)","(-0.000000,0.000000)","(0.048693,0.072361)","(0.186754,0.131733)","(0.387172,0.137576)","(0.610184,0.094406)","(0.811226,0.045458)","(0.950321,0.014123)","(0.999972,0.002483)","9.000000e+06","1.000000e-01","4.000000e+00","8.677697e-03","1.122032e+00","-1.436690e-01"
